controller,joint,angle_deg,max_abs_error_rad_cmd_joint,final_abs_error_rad_cmd_joint,rms_error_rad_cmd_joint,max_abs_tau_nm_cmd_joint,all_joint_max_abs_error_rad,all_joint_max_abs_tau_nm,csv
augpd_fric2p5,4,-5.0,0.01027815111422592,0.0025789309284238726,0.006494670028038861,4.258473204350492,0.01027815111422592,8.732233399691863,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j4_neg5.csv
augpd_fric2p5,5,-10.0,0.006007371706672163,0.0004093776575322394,0.002718815647136955,1.100405146005903,0.006007371706672163,7.4022379127115965,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j5_neg10.csv
augpd_fric2p5,5,-30.0,0.01786536665793126,0.0010084856412060361,0.008397289433199307,1.2996963746490051,0.01786536665793126,7.529719304821702,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j5_neg30.csv
augpd_fric2p5,5,-5.0,0.0029939720187850405,0.00023059347474418956,0.001362725965181649,1.0506801889719461,0.0029939720187850405,7.401165598631199,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j5_neg5.csv
augpd_fric2p5,5,10.0,0.005250294160028687,0.0002464599464220285,0.0023088803129657645,1.0975076015505467,0.005250294160028687,7.4194607420648975,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j5_pos10.csv
augpd_fric2p5,5,30.0,0.015472132445954578,0.0007719279352524921,0.006650541112226226,1.2952641811607957,0.015472132445954578,7.444709540540152,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j5_pos30.csv
augpd_fric2p5,5,5.0,0.002800502838092897,0.0002089090884975775,0.0013239107266039992,1.0486126354197338,0.002800502838092897,7.401300766471722,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j5_pos5.csv
augpd_fric2p5,6,-10.0,0.016482662517070534,0.0012810310331561325,0.002842552153272137,3.0,0.016482662517070534,7.421011845055574,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j6_neg10.csv
augpd_fric2p5,6,-30.0,0.012723597878446125,0.0016751159357273337,0.0026449667911075713,3.0,0.012723597878446125,7.4191585473040425,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j6_neg30.csv
augpd_fric2p5,6,-5.0,0.01673302830548684,0.0013679972507016913,0.0028438843040818305,3.0,0.01673302830548684,7.420494737321794,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j6_neg5.csv
augpd_fric2p5,6,10.0,0.01232338104739289,0.0001491932855381961,0.0026084739903722686,3.0,0.01232338104739289,7.426177926432606,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j6_pos10.csv
augpd_fric2p5,6,30.0,0.010932488605925716,0.0017271044439945982,0.002646944300694803,3.0,0.010932488605925716,7.423885963522469,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j6_pos30.csv
augpd_fric2p5,6,5.0,0.013370584357738843,0.0005841073767491878,0.0029051950554484086,3.0,0.013370584357738843,7.422965022261355,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j6_pos5.csv
augpd_nofric,1,10.0,0.05681482236335744,0.04922247873311125,0.04608880131037178,1.0902276419145365,0.05681482236335744,7.392241551396166,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j1_pos10.csv
augpd_nofric,1,30.0,0.07398124030255548,0.04940412157437102,0.053759717095388536,1.2940589364811954,0.07398124030255548,7.391810924426637,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j1_pos30.csv
augpd_nofric,1,5.0,0.05359313158384331,0.037562945648896395,0.039574259036928516,1.0437612486176693,0.05359313158384331,7.390466127541164,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j1_pos5.csv
