source,controller,joint,angle_deg,outbound_samples,outbound_duration_s,outbound_rate_hz,desired_delta_deg,actual_delta_deg,achieved_pct,final_error_deg,max_abs_error_deg,rms_error_deg,max_abs_tau_cmd_joint,max_abs_tau_state_joint,max_abs_dq_actual_joint,q_des_prefix,tau_cmd_prefix,tau_state_prefix,file
sim,augpd_nofric,5,-30.0,3321,7.998814266999943,415.1865375473436,-29.999999999999996,-18.710716429482805,62.369054764942696,-11.289285228841152,14.145323492695638,10.655400568613564,1.2095121272240479,nan,0.2154225625672371,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j5_neg30.csv
sim,computed_torque_baseline,5,-30.0,2913,7.999792469999875,364.1344461027057,-29.999999999999996,-0.014002923671497457,0.04667641223832486,-29.985996969289857,29.99135371898079,23.701515775993357,0.0074706234186862975,nan,8.80516663030183e-05,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j5_neg30.csv
sim,cpid_fric2p5,5,-30.0,2934,7.998990266999954,366.7962957905193,-29.999999999999996,-29.918953644279952,99.72984548093318,-0.08104133537920712,2.924739450268373,1.4371479537043537,1.2359961013228353,nan,0.25982458774941636,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j5_neg30.csv
sdk,sdk_lowcmd,5,-10.0,1307,4.995680032000109,261.6260432269357,-9.999999999805953,-9.855111760003087,98.55111760194323,-0.14488823980286575,0.2820134845438263,0.18586050086043943,0.025181116305070333,1.2897588014602661,0.09698747098445892,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j5_neg10deg_sdk_lowcmd.csv
sim,augpd_fric2p5,5,-10.0,2984,7.998455821000107,373.07201124565165,-10.0,-10.02603811550395,100.2603811550395,0.026037168796328114,0.31302826042791954,0.14456270452843853,1.0852188111559644,nan,0.09102274498626077,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j5_neg10.csv
sim,augpd_nofric,5,-10.0,3262,7.9987898179999775,407.81169079595,-10.0,-0.04693636786472895,0.46936367864728945,-9.953065159983616,9.976838656164498,7.945193699403021,0.8716696183038745,nan,0.000197721979604992,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_nofric_j5_neg10.csv
sim,computed_torque_baseline,5,-10.0,2993,7.99990281700002,374.12954487894405,-10.0,-0.01389964026333797,0.1389964026333797,-9.986100128542905,9.991420834501506,7.9391532234799485,0.0015910203233674043,nan,8.659328460706417e-05,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/computed_torque_baseline_j5_neg10.csv
sim,cpid_fric2p5,5,-10.0,2990,7.999942440999803,373.75268910388826,-10.0,-9.901651066743746,99.01651066743746,-0.09834846043825214,0.7027878868311724,0.3406796966857149,1.0751074698069838,nan,0.08499061655693552,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/cpid_fric2p5_j5_neg10.csv
sdk,sdk_lowcmd,5,-5.0,1271,4.997794263000287,254.31218916102208,-4.999999999993391,-4.855517447938595,97.11034895890026,-0.14445864639270065,0.21962902656883185,0.1591415760153337,0.019156157874288718,1.0960693359375,0.049570389091968536,q_cmd,tau_sdk_cmd,tau_state,logs/sim_compare_joint_controllers_20260613_053905/sdk_lowcmd/workspace_j5_neg5deg_sdk_lowcmd.csv
sim,augpd_fric2p5,5,-5.0,2929,7.999068135000016,366.16765235241917,-5.0,-5.012571074665538,100.25142149331077,0.012570240594283482,0.17154196065664565,0.0748197314549609,1.0437433551716047,nan,0.046235049073323646,q_des,tau_total,,logs/sim_compare_joint_controllers_20260613_053905/augpd_fric2p5_j5_neg5.csv
